name,url,country,region,subregion,vertical,base_m,top_m,km,lifts,price,list
Zettersfeld – Lienz,https://www.skiresort.com/en/ski-resort/zettersfeld-lienz/,Austria,Tyrol (Tirol),Osttirol (East Tyrol) / Lienz Dolomites,618,1660,2278,21,6,"€ 70,-",slope+alt
Ehrwalder Wettersteinbahnen – Ehrwald,https://www.skiresort.com/en/ski-resort/ehrwalder-wettersteinbahnen-ehrwald/,Austria,Tyrol (Tirol),Außerfern / Tiroler Zugspitz Arena,530,1000,1530,21,6,"€ 55,-",slope+alt
Crévacol,https://www.skiresort.com/en/ski-resort/crevacol/,Italy,Aosta Valley (Valle d'Aosta),Great Saint Bernard (Gran San Bernardo),787,1667,2454,21,3,"€ 37,-",slope+alt
Hochrindl – Sirnitz,https://www.skiresort.com/en/ski-resort/hochrindl-sirnitz/,Austria,Carinthia (Kärnten),Upper Carinthia (Oberkärnten) / Feldkirchen / Nockberge,362,1470,1832,20.6,7,"€ 52,-",slope+alt
Spieljoch – Fügen,https://www.skiresort.com/en/ski-resort/spieljoch-fuegen/,Austria,Tyrol (Tirol),Tiroler Unterland / Schwaz / Zillertal / Fügen-Kaltenbach,1444,610,2054,20.5,10,"€ 80,-",slope+alt
Santa Caterina Valfurva,https://www.skiresort.com/en/ski-resort/santa-caterina-valfurva/,Italy,Lombardy,Valtellina / Alta Valtellina / Valfurva,1158,1722,2880,20.5,9,"€ 63,-",slope+alt
Giw – Visperterminen,https://www.skiresort.com/en/ski-resort/giw-visperterminen/,Switzerland,Lemanic Region,Valais (Wallis) / Visp,928,1381,2309,20.5,5,"SFr. 53,- / approx. € 56,-",slope+alt
Pejo 3000,https://www.skiresort.com/en/ski-resort/pejo-3000/,Italy,Trentino-Alto Adige (Trentino-Südtirol),Trentino / Val di Sole (Sole Valley),1600,1400,3000,20,7,"€ 58,-",slope+alt
Bellwald,https://www.skiresort.com/en/ski-resort/bellwald/,Switzerland,Lemanic Region,Valais (Wallis) / Goms,958,1600,2558,20,5,,slope+alt
Rosskopf (Monte Cavallo) – Sterzing (Vipiteno),https://www.skiresort.com/en/ski-resort/rosskopf-monte-cavallo-sterzing-vipiteno/,Italy,Trentino-Alto Adige (Trentino-Südtirol),South Tyrol (Südtirol) / Eisacktal / Sterzing-Ratschings-Gossensass,1160,960,2120,20,3,"€ 61,-",slope+alt
Filzmoos,https://www.skiresort.com/en/ski-resort/filzmoos/,Austria,Salzburg (Salzburger Land),Pongau / Salzburger Sportwelt,621,970,1591,20,8,"€ 70,-",slope+alt
Carì,https://www.skiresort.com/en/ski-resort/cari/,Switzerland,Ticino,Bellinzonese and Upper Ticino / Valle Leventina,630,1650,2280,20,4,"SFr. 48,- / approx. € 51,-",slope+alt
