name,url,country,region,subregion,vertical,base_m,top_m,km,lifts,price,list
Rigi – Scheidegg/Burggeist,https://www.skiresort.com/en/ski-resort/rigi-scheidegg-burggeist/,Switzerland,Central Switzerland,Schwyz,644,1012,1656,5,5,,slope+alt
Entracque,https://www.skiresort.com/en/ski-resort/entracque/,Italy,Piedmont (Piemonte),Cuneo,165,944,1109,5,3,"€ 28,-",slope
"Malga San Giorgio <span class=""closed-resort red""> (temporarily closed)</span>",https://www.skiresort.com/en/ski-resort/malga-san-giorgio/,Italy,Venetia (Veneto),Verona,311,1495,1806,5,2,"€ 23,-",slope+alt
Valgrisenche,https://www.skiresort.com/en/ski-resort/valgrisenche/,Italy,Aosta Valley (Valle d'Aosta),Gran Paradiso,386,1664,2050,5,3,"€ 21,-",slope+alt
Buchenberg – Buching (Halblech),https://www.skiresort.com/en/ski-resort/buchenberg-buching-halblech/,Germany,Bavaria (Bayern),Swabia (Schwaben) / Ostallgäu,341,800,1141,5,,"€ 28,-",slope
Gitschenen – Isenthal,https://www.skiresort.com/en/ski-resort/gitschenen-isenthal/,Switzerland,Central Switzerland,Uri,217,1353,1570,5,2,"SFr. 32,- / approx. € 34,-",slope+alt
Gspon (Staldenried),https://www.skiresort.com/en/ski-resort/gspon-staldenried/,Switzerland,Lemanic Region,Valais (Wallis) / Visp,328,1865,2193,5,4,"SFr. 41,- / approx. € 43,-",slope+alt
Gurtis/Bazora,https://www.skiresort.com/en/ski-resort/gurtis-bazora/,Austria,Vorarlberg,Bodensee-Vorarlberg,470,920,1390,5,4,"€ 24,-",slope+alt
St. Pierre de Chartreuse – Le Planolet,https://www.skiresort.com/en/ski-resort/st-pierre-de-chartreuse-le-planolet/,France,Auvergne-Rhône-Alpes,Isère / Grenoble,900,900,1800,5,5,"€ 15,-",slope+alt
Hochwechsellifts – Mönichwald,https://www.skiresort.com/en/ski-resort/hochwechsellifts-moenichwald/,Austria,Styria (Steiermark),Oststeiermark / Joglland-Waldheimat,270,996,1266,5,4,"€ 33,-",slope+alt
Weissbriach (Gitschtal),https://www.skiresort.com/en/ski-resort/weissbriach-gitschtal/,Austria,Carinthia (Kärnten),Nassfeld-Pressegger See,330,820,1150,5,4,"€ 42,-",slope
Le Reposoir – Village,https://www.skiresort.com/en/ski-resort/le-reposoir-village/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Haute-Savoie / Bonneville / Faucigny,102,1030,1132,5,4,"€ 15,-",slope
Hochbärneck – St. Anton an der Jeßnitz,https://www.skiresort.com/en/ski-resort/hochbaerneck-st-anton-an-der-jessnitz/,Austria,Lower Austria (Niederösterreich),Mostviertel / Scheibbs,160,880,1040,5,2,€ 22.50,slope
Biancoia – Conco,https://www.skiresort.com/en/ski-resort/biancoia-conco/,Italy,Venetia (Veneto),Vicenza / Asiago,164,1090,1254,4.9,4,"€ 31,-",slope+alt
Kiental,https://www.skiresort.com/en/ski-resort/kiental/,Switzerland,Espace Mittelland,Bern / Bernese Oberland / Kandertal,565,904,1469,4.7,3,"SFr. 35,- / approx. € 37,-",slope+alt
Paluda – Dalaas,https://www.skiresort.com/en/ski-resort/paluda-dalaas/,Austria,Vorarlberg,Bludenz / Alpenregion Bludenz,300,850,1150,4.7,,"€ 15,-",slope
Faltschen – Reichenbach,https://www.skiresort.com/en/ski-resort/faltschen-reichenbach/,Switzerland,Espace Mittelland,Bern / Bernese Oberland / Kandertal,327,1032,1359,4.7,2,"SFr. 32,- / approx. € 34,-",slope+alt
Col d'Ornon,https://www.skiresort.com/en/ski-resort/col-dornon/,France,Auvergne-Rhône-Alpes,Isère / Grenoble,650,1350,2000,4.5,4,"€ 13,-",slope+alt
Maiszinken – Lunz am See,https://www.skiresort.com/en/ski-resort/maiszinken-lunz-am-see/,Austria,Lower Austria (Niederösterreich),Mostviertel / Scheibbs,310,760,1070,4.5,3,€ 27.50,slope
Tenna,https://www.skiresort.com/en/ski-resort/tenna/,Switzerland,Eastern Switzerland,Graubünden / Surselva,135,1656,1791,4.5,,"SFr. 30,- / approx. € 32,-",slope+alt
Pian Cales – San Bernardino,https://www.skiresort.com/en/ski-resort/pian-cales-san-bernardino/,Switzerland,Eastern Switzerland,Graubünden / San Bernardino Mesolcina Calanca / Val Mesolcina (Misox),166,1625,1791,4.5,4,"SFr. 25,- / approx. € 27,-",slope+alt
Gfellen – Entlebuch-Finsterwald,https://www.skiresort.com/en/ski-resort/gfellen-entlebuch-finsterwald/,Switzerland,Central Switzerland,Lucerne,270,1025,1295,4.5,2,"SFr. 25,- / approx. € 27,-",slope+alt
Piazzatorre,https://www.skiresort.com/en/ski-resort/piazzatorre/,Italy,Lombardy,Bergamo / Val Brembana,670,1110,1780,4.2,2,"€ 30,-",slope+alt
Misurina – Passo Tre Croci,https://www.skiresort.com/en/ski-resort/misurina-passo-tre-croci/,Italy,Venetia (Veneto),Belluno / Cortina d’Ampezzo,362,1752,2114,4.2,2,"€ 49,-",slope+alt
Hochschwarzeck – Ramsau bei Berchtesgaden,https://www.skiresort.com/en/ski-resort/hochschwarzeck-ramsau-bei-berchtesgaden/,Germany,Bavaria (Bayern),Upper Bavaria (Oberbayern) / Berchtesgadener Land,370,1020,1390,4.2,4,"€ 32,-",slope+alt
Prags (Braies),https://www.skiresort.com/en/ski-resort/prags-braies/,Italy,Trentino-Alto Adige (Trentino-Südtirol),South Tyrol (Südtirol) / 3 Zinnen Dolomites,227,1428,1655,4.2,2,,slope+alt
Hauereck – St. Kathrein am Hauenstein,https://www.skiresort.com/en/ski-resort/hauereck-st-kathrein-am-hauenstein/,Austria,Styria (Steiermark),Oststeiermark / Joglland-Waldheimat,305,1000,1305,4.1,4,€ 40.50,slope+alt
Reither Kogel – Reith im Alpbachtal,https://www.skiresort.com/en/ski-resort/reither-kogel-reith-im-alpbachtal/,Austria,Tyrol (Tirol),Tiroler Unterland / Kufstein / Holiday Region Alpbachtal,610,670,1280,4,5,€ 71.50,slope+alt
Tirolina (Haltjochlift) – Hinterthiersee,https://www.skiresort.com/en/ski-resort/tirolina-haltjochlift-hinterthiersee/,Austria,Tyrol (Tirol),Tiroler Unterland / Kufstein / Kufsteinerland,225,852,1077,4,2,"€ 27,-",slope
Laber – Oberammergau,https://www.skiresort.com/en/ski-resort/laber-oberammergau/,Germany,Bavaria (Bayern),Upper Bavaria (Oberbayern) / Zugspitz Region / Ammergauer Alpen,784,900,1684,4,,"€ 35,-",slope+alt
Rein in Taufers (Riva di Tures),https://www.skiresort.com/en/ski-resort/rein-in-taufers-riva-di-tures/,Italy,Trentino-Alto Adige (Trentino-Südtirol),South Tyrol (Südtirol) / Tauferer Ahrntal (Valli di Tures e Aurina) / Skiworld Ahrntal,252,1583,1835,4,2,"€ 33,-",slope+alt
Alpe Cialma – Locana,https://www.skiresort.com/en/ski-resort/alpe-cialma-locana/,Italy,Piedmont (Piemonte),Turin (Torino) / Orco Valley (Valle dell'Orco),400,1350,1750,4,3,"€ 20,-",slope+alt
Val Formica – Cima Larici,https://www.skiresort.com/en/ski-resort/val-formica-cima-larici/,Italy,Venetia (Veneto),Vicenza / Asiago,122,1645,1767,4,4,"€ 28,-",slope+alt
Hochlecken – Neukirchen (Altmünster),https://www.skiresort.com/en/ski-resort/hochlecken-neukirchen-altmuenster/,Austria,Upper Austria (Oberösterreich),Salzkammergut / Lake Traunsee,295,784,1079,4,5,"€ 22,-",slope
Prato (Leventina),https://www.skiresort.com/en/ski-resort/prato-leventina/,Switzerland,Ticino,Bellinzonese and Upper Ticino / Valle Leventina,225,1045,1270,4,2,"SFr. 21,- / approx. € 22,-",slope+alt
Pian Neiretto,https://www.skiresort.com/en/ski-resort/pian-neiretto/,Italy,Piedmont (Piemonte),Turin (Torino),300,1300,1600,4,2,"€ 20,-",slope+alt
Schuttannen – Hohenems,https://www.skiresort.com/en/ski-resort/schuttannen-hohenems/,Austria,Vorarlberg,Bodensee-Vorarlberg,170,1150,1320,4,2,"€ 15,-",slope+alt
St. Oswald (Kartitsch),https://www.skiresort.com/en/ski-resort/st-oswald-kartitsch/,Austria,Tyrol (Tirol),Osttirol (East Tyrol) / East Tyrolean Hochpustertal,464,1356,1820,4,3,"€ 49,-",slope+alt
Le Sappey en Chartreuse,https://www.skiresort.com/en/ski-resort/le-sappey-en-chartreuse/,France,Auvergne-Rhône-Alpes,Isère / Grenoble,390,960,1350,4,4,"€ 15,-",slope+alt
Tonnerhütte – Mühlen,https://www.skiresort.com/en/ski-resort/tonnerhuette-muehlen/,Austria,Styria (Steiermark),Murtal / Europe / Austria / Styria (Steiermark) / Murau,162,1592,1754,4,2,"€ 29,-",slope+alt
Hohwald – Beatenberg-Waldegg,https://www.skiresort.com/en/ski-resort/hohwald-beatenberg-waldegg/,Switzerland,Espace Mittelland,Bern / Bernese Oberland / Interlaken,314,1291,1605,4,3,"SFr. 35,- / approx. € 37,-",slope+alt
Fischenthal-Aurüti – Oberegg,https://www.skiresort.com/en/ski-resort/fischenthal-aurueti-oberegg/,Switzerland,Zürich,,226,824,1050,4,2,"SFr. 29,- / approx. € 31,-",slope
Oberholz – Farner,https://www.skiresort.com/en/ski-resort/oberholz-farner/,Switzerland,Eastern Switzerland,St. Gallen,303,852,1155,4,3,"SFr. 32,- / approx. € 34,-",slope
St. Jakob im Walde,https://www.skiresort.com/en/ski-resort/st-jakob-im-walde/,Austria,Styria (Steiermark),Oststeiermark / Joglland-Waldheimat,200,1000,1200,4,4,"€ 33,-",slope+alt
Kluglifte Hebalm – Rettenbach (Deutschlandsberg),https://www.skiresort.com/en/ski-resort/kluglifte-hebalm-rettenbach-deutschlandsberg/,Austria,Styria (Steiermark),Schilcherland,100,1350,1450,4,3,"€ 31,-",slope+alt
Val Pelens,https://www.skiresort.com/en/ski-resort/val-pelens/,France,Provence-Alpes-Côte d’Azur,Alpes-Maritimes / Nice,137,1600,1737,4,2,"€ 15,-",slope+alt
Heiligkreuz-First – Hasle,https://www.skiresort.com/en/ski-resort/heiligkreuz-first-hasle/,Switzerland,Central Switzerland,Lucerne,335,1133,1468,4,2,"SFr. 25,- / approx. € 27,-",slope+alt
Alpsteinblick – Gonten,https://www.skiresort.com/en/ski-resort/alpsteinblick-gonten/,Switzerland,Eastern Switzerland,Appenzellerland / Appenzell Innerrhoden,250,892,1142,4,3,"SFr. 27,- / approx. € 29,-",slope
Niederthai (Umhausen),https://www.skiresort.com/en/ski-resort/niederthai-umhausen/,Austria,Tyrol (Tirol),Tiroler Oberland (region) / Imst (District) / Ötztal,138,1532,1670,4,4,"€ 36,-",slope+alt
Niedere – Andelsbuch/Bezau,https://www.skiresort.com/en/ski-resort/niedere-andelsbuch-bezau/,Austria,Vorarlberg,Bregenz / Bregenzerwald,1060,655,1715,3.9,4,"€ 38,-",slope+alt
Rienz – Toblach (Dobbiaco),https://www.skiresort.com/en/ski-resort/rienz-toblach-dobbiaco/,Italy,Trentino-Alto Adige (Trentino-Südtirol),South Tyrol (Südtirol) / 3 Zinnen Dolomites,210,1200,1410,3.9,2,"€ 52,-",slope+alt
"Furtnerlifts – Rohr im Gebirge <span class=""closed-resort red""> (temporarily closed)</span>",https://www.skiresort.com/en/ski-resort/furtnerlifts-rohr-im-gebirge/,Austria,Lower Austria (Niederösterreich),Wiener Alpen,127,800,927,3.9,3,,slope
Schneeberg,https://www.skiresort.com/en/ski-resort/schneeberg/,Austria,Lower Austria (Niederösterreich),Wiener Alpen / Neunkirchen,430,780,1210,3.8,5,€ 33.50,slope+alt
Arabichl – Kirchberg am Wechsel,https://www.skiresort.com/en/ski-resort/arabichl-kirchberg-am-wechsel/,Austria,Lower Austria (Niederösterreich),Wiener Alpen / Neunkirchen,144,1369,1513,3.8,,,slope+alt
Hinterreit,https://www.skiresort.com/en/ski-resort/hinterreit/,Austria,Salzburg (Salzburger Land),Hochkönig,420,780,1200,3.7,3,"€ 47,-",slope+alt
Eckbauer – Garmisch-Partenkirchen,https://www.skiresort.com/en/ski-resort/eckbauer-garmisch-partenkirchen/,Germany,Bavaria (Bayern),Upper Bavaria (Oberbayern) / Zugspitz Region / Zugspitzland,500,730,1230,3.6,3,"€ 42,-",slope+alt
Bichlalm,https://www.skiresort.com/en/ski-resort/bichlalm/,Austria,Tyrol (Tirol),Tiroler Unterland / Kitzbühel (District) / Kitzbühel,693,904,1597,3.6,,"€ 45,-",slope+alt
Ratzi – Spiringen,https://www.skiresort.com/en/ski-resort/ratzi-spiringen/,Switzerland,Central Switzerland,Uri,890,950,1840,3.6,2,"SFr. 36,- / approx. € 38,-",slope+alt
Ottenleue – Sangernboden,https://www.skiresort.com/en/ski-resort/ottenleue-sangernboden/,Switzerland,Espace Mittelland,Bern,150,1450,1600,3.6,,"SFr. 36,- / approx. € 38,-",slope+alt
Rucas di Bagnolo,https://www.skiresort.com/en/ski-resort/rucas-di-bagnolo/,Italy,Piedmont (Piemonte),Cuneo,300,1480,1780,3.6,2,"€ 21,-",slope+alt
Heiden – Bischofsberg,https://www.skiresort.com/en/ski-resort/heiden-bischofsberg/,Switzerland,Eastern Switzerland,Appenzellerland / Appenzell Ausserrhoden,110,813,923,3.6,2,"SFr. 28,- / approx. € 30,-",slope
Lauenen,https://www.skiresort.com/en/ski-resort/lauenen/,Switzerland,Espace Mittelland,Bern / Bernese Oberland / Gstaad,167,1238,1405,3.5,,"SFr. 37,- / approx. € 39,-",slope+alt
Tanzboden – Ebnat-Kappel,https://www.skiresort.com/en/ski-resort/tanzboden-ebnat-kappel/,Switzerland,Eastern Switzerland,St. Gallen / Toggenburg,316,865,1181,3.5,2,"SFr. 34,- / approx. € 36,-",slope
Le Désert d'Entremont,https://www.skiresort.com/en/ski-resort/le-desert-dentremont/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Savoie / Chambéry,200,1200,1400,3.5,3,€ 14.50,slope+alt
Oberegg – St. Anton,https://www.skiresort.com/en/ski-resort/oberegg-st-anton/,Switzerland,Eastern Switzerland,Appenzellerland / Appenzell Innerrhoden,255,855,1110,3.5,,"SFr. 28,- / approx. € 30,-",slope
Skizentrum Pfronten,https://www.skiresort.com/en/ski-resort/skizentrum-pfronten/,Germany,Bavaria (Bayern),Swabia (Schwaben) / Ostallgäu,382,850,1232,3.4,5,"€ 32,-",slope+alt
Wallberg – Rottach-Egern,https://www.skiresort.com/en/ski-resort/wallberg-rottach-egern/,Germany,Bavaria (Bayern),Upper Bavaria (Oberbayern) / Tegernsee-Schliersee,830,790,1620,3.2,,,slope+alt
Katzenkopf – Leutasch,https://www.skiresort.com/en/ski-resort/katzenkopf-leutasch/,Austria,Tyrol (Tirol),Innsbruck / Innsbruck-Land / Region Seefeld – Tirols Hochplateau,223,1140,1363,3.2,2,"€ 42,-",slope+alt
Col de Marcieu – Saint Bernard du Touvet,https://www.skiresort.com/en/ski-resort/col-de-marcieu-saint-bernard-du-touvet/,France,Auvergne-Rhône-Alpes,Isère / Grenoble,357,993,1350,3.2,3,"€ 17,-",slope+alt
Eibisberg – Anger,https://www.skiresort.com/en/ski-resort/eibisberg-anger/,Austria,Styria (Steiermark),Oststeiermark / Naturpark Almenland,205,963,1168,3.1,,,slope
Les Coulmes – Col de Romeyère (Rencurel),https://www.skiresort.com/en/ski-resort/les-coulmes-col-de-romeyere-rencurel/,France,Auvergne-Rhône-Alpes,Isère / Grenoble / « / 1,183,1050,1233,3.1,3,€ 10.40,slope+alt
Steg im Tösstal,https://www.skiresort.com/en/ski-resort/steg-im-toesstal/,Switzerland,Zürich,,323,700,1023,3.1,2,"SFr. 30,- / approx. € 32,-",slope
Steckenberg – Unterammergau,https://www.skiresort.com/en/ski-resort/steckenberg-unterammergau/,Germany,Bavaria (Bayern),Upper Bavaria (Oberbayern) / Zugspitz Region / Ammergauer Alpen,160,860,1020,3,6,"€ 23,-",slope
Sattel – Hochstuckli,https://www.skiresort.com/en/ski-resort/sattel-hochstuckli/,Switzerland,Central Switzerland,Schwyz,691,800,1491,3,5,"SFr. 35,- / approx. € 37,-",slope+alt
La Grave – La Meije,https://www.skiresort.com/en/ski-resort/la-grave-la-meije/,France,Provence-Alpes-Côte d’Azur,Hautes-Alpes / Briançon,2064,1470,3534,3,4,"€ 62,-",slope+alt
Velika Planina,https://www.skiresort.com/en/ski-resort/velika-planina/,Slovenia,Osrednjeslovenska (Central Slovenia),,254,1412,1666,3,4,"€ 29,-",slope+alt
Bannalp – Oberrickenbach,https://www.skiresort.com/en/ski-resort/bannalp-oberrickenbach/,Switzerland,Central Switzerland,Engelberg-Titlis,130,1663,1793,3,3,"SFr. 34,- / approx. € 36,-",slope+alt
Val Formazza,https://www.skiresort.com/en/ski-resort/val-formazza/,Italy,Piedmont (Piemonte),Verbano-Cusio-Ossola / Ossola (Val d’Ossola),474,1298,1772,3,3,"€ 25,-",slope+alt
Romme – Nancy-sur-Cluses,https://www.skiresort.com/en/ski-resort/romme-nancy-sur-cluses/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Haute-Savoie / Bonneville / Faucigny,638,920,1558,3,4,"€ 15,-",slope+alt
Vorderthal – Skilift Wägital,https://www.skiresort.com/en/ski-resort/vorderthal-skilift-waegital/,Switzerland,Central Switzerland,Schwyz,510,750,1260,3,,"SFr. 25,- / approx. € 27,-",slope+alt
Homberg,https://www.skiresort.com/en/ski-resort/homberg/,Switzerland,Espace Mittelland,Bern,153,940,1093,3,,"SFr. 20,- / approx. € 21,-",slope
Park kralja Matjaža – Črna na Koroškem,https://www.skiresort.com/en/ski-resort/park-kralja-matjaza-crna-na-koroskem/,Slovenia,Carinthia (Koroška),,214,575,789,3,,"€ 21,-",slope
Les Rafforts – Héry sur Ugine,https://www.skiresort.com/en/ski-resort/les-rafforts-hery-sur-ugine/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Savoie / Albertville,312,912,1224,3,2,,slope+alt
Dent de Jaman – Montreux,https://www.skiresort.com/en/ski-resort/dent-de-jaman-montreux/,Switzerland,Lemanic Region,Waadt,384,1354,1738,3,2,"SFr. 37,- / approx. € 39,-",slope+alt
Aiguilles,https://www.skiresort.com/en/ski-resort/aiguilles/,France,Provence-Alpes-Côte d’Azur,Hautes-Alpes / Briançon,169,1450,1619,3,3,"€ 5,-",slope+alt
Aela – Maloja,https://www.skiresort.com/en/ski-resort/aela-maloja/,Switzerland,Eastern Switzerland,Graubünden / Bregaglia Engadin,335,1801,2136,3,2,"SFr. 35,- / approx. € 37,-",slope+alt
St. Martin im Tennengebirge,https://www.skiresort.com/en/ski-resort/st-martin-im-tennengebirge/,Austria,Salzburg (Salzburger Land),Pongau,255,955,1210,3,2,"€ 38,-",slope+alt
Eggiwil – Netschbühl,https://www.skiresort.com/en/ski-resort/eggiwil-netschbuehl/,Switzerland,Espace Mittelland,Bern / Emmental,300,720,1020,3,,"SFr. 27,- / approx. € 29,-",slope
Mastrils,https://www.skiresort.com/en/ski-resort/mastrils/,Switzerland,Eastern Switzerland,Heidiland,230,720,950,3,,"SFr. 18,- / approx. € 19,-",slope
Almblicklifts – Strallegg,https://www.skiresort.com/en/ski-resort/almblicklifts-strallegg/,Austria,Styria (Steiermark),Oststeiermark / Joglland-Waldheimat,295,699,994,3,4,"€ 33,-",slope
Turmkogel – Puchenstuben,https://www.skiresort.com/en/ski-resort/turmkogel-puchenstuben/,Austria,Lower Austria (Niederösterreich),Mostviertel / Scheibbs,233,905,1138,3,3,"€ 24,-",slope
Rotecklift – Tobadill,https://www.skiresort.com/en/ski-resort/rotecklift-tobadill/,Austria,Tyrol (Tirol),Tiroler Oberland (region) / Landeck / Tirol West,191,1186,1377,3,,€ 44.50,slope+alt
Col de Turini/Camp d'Argent,https://www.skiresort.com/en/ski-resort/col-de-turini-camp-dargent/,France,Provence-Alpes-Côte d’Azur,Alpes-Maritimes / Nice,180,1740,1920,3,3,"€ 13,-",slope+alt
Tockneralmlift Krakauebene – Krakauhintermühlen (Krakau),https://www.skiresort.com/en/ski-resort/tockneralmlift-krakauebene-krakauhintermuehlen-krakau/,Austria,Styria (Steiermark),Murtal / Europe / Austria / Styria (Steiermark) / Murau,230,1220,1450,3,2,"€ 26,-",slope+alt
Halblech,https://www.skiresort.com/en/ski-resort/halblech/,Germany,Bavaria (Bayern),Swabia (Schwaben) / Ostallgäu,220,823,1043,3,,,slope
Hochlitten – Riefensberg,https://www.skiresort.com/en/ski-resort/hochlitten-riefensberg/,Austria,Vorarlberg,Bregenz / Bregenzerwald,200,1000,1200,3,4,"€ 40,-",slope+alt
Junker – St. Antönien,https://www.skiresort.com/en/ski-resort/junker-st-antoenien/,Switzerland,Eastern Switzerland,Graubünden / Prättigau,251,1405,1656,3,2,"SFr. 32,- / approx. € 34,-",slope+alt
Embach – Hörndl,https://www.skiresort.com/en/ski-resort/embach-hoerndl/,Austria,Salzburg (Salzburger Land),Pinzgau,284,1012,1296,3,2,"€ 32,-",slope+alt
Obersalzberg,https://www.skiresort.com/en/ski-resort/obersalzberg/,Germany,Bavaria (Bayern),Upper Bavaria (Oberbayern) / Berchtesgadener Land,150,795,945,3,5,"€ 25,-",slope
Gröllerkopf – Übersaxen,https://www.skiresort.com/en/ski-resort/groellerkopf-uebersaxen/,Austria,Vorarlberg,Bodensee-Vorarlberg,181,1013,1194,3,2,"€ 28,-",slope+alt
Münster-Geschinen,https://www.skiresort.com/en/ski-resort/muenster-geschinen/,Switzerland,Lemanic Region,Valais (Wallis) / Obergoms,282,1363,1645,3,2,"SFr. 27,- / approx. € 29,-",slope+alt
Obermutten,https://www.skiresort.com/en/ski-resort/obermutten/,Switzerland,Eastern Switzerland,Graubünden / Viamala,136,1731,1867,3,,"SFr. 23,- / approx. € 24,-",slope+alt
Bessans,https://www.skiresort.com/en/ski-resort/bessans/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Savoie / Maurienne / Haute Maurienne Vanoise,136,1706,1842,3,2,"€ 13,-",slope+alt
Degersheim – Fuchsacker,https://www.skiresort.com/en/ski-resort/degersheim-fuchsacker/,Switzerland,Eastern Switzerland,St. Gallen / St. Gallen-Bodensee,219,815,1034,3,3,"SFr. 32,- / approx. € 34,-",slope
Palot (Pisogne),https://www.skiresort.com/en/ski-resort/palot-pisogne/,Italy,Lombardy,Camonica Valley (Val Camonica),290,1060,1350,3,2,"€ 29,-",slope+alt
Sachrang,https://www.skiresort.com/en/ski-resort/sachrang/,Germany,Bavaria (Bayern),Upper Bavaria (Oberbayern) / Chiemsee Alpenland (Chiemsee Alps),92,731,823,3,7,"€ 19,-",slope
Trije Kralji,https://www.skiresort.com/en/ski-resort/trije-kralji/,Slovenia,Podravska,,147,1200,1347,2.8,2,"€ 35,-",slope+alt
Forsteralm,https://www.skiresort.com/en/ski-resort/forsteralm/,Austria,Upper Austria (Oberösterreich),Steyr-Kirchdorf / Steyr-Land,145,680,825,2.8,3,"€ 28,-",slope
Pian delle Betulle – Margno,https://www.skiresort.com/en/ski-resort/pian-delle-betulle-margno/,Italy,Lombardy,Lecco,251,1550,1801,2.6,4,"€ 25,-",slope+alt
Holzmeisterlifts Sommeralm,https://www.skiresort.com/en/ski-resort/holzmeisterlifts-sommeralm/,Austria,Styria (Steiermark),Oststeiermark / Naturpark Almenland,160,1240,1400,2.6,2,"€ 31,-",slope+alt
La Stass' – St. Pierre de Chartreuse,https://www.skiresort.com/en/ski-resort/la-stass-st-pierre-de-chartreuse/,France,Auvergne-Rhône-Alpes,Isère / Grenoble,300,1350,1650,2.6,5,,slope+alt
Unternberg (Ruhpolding),https://www.skiresort.com/en/ski-resort/unternberg-ruhpolding/,Germany,Bavaria (Bayern),Upper Bavaria (Oberbayern) / Chiemgau,707,710,1417,2.5,3,"€ 32,-",slope+alt
Elfer – Neustift,https://www.skiresort.com/en/ski-resort/elfer-neustift/,Austria,Tyrol (Tirol),Innsbruck / Innsbruck-Land / Stubai,1099,981,2080,2.5,3,€ 48.50,slope+alt
Les Planards,https://www.skiresort.com/en/ski-resort/les-planards/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Haute-Savoie / Bonneville / Pays du Mont Blanc / Chamonix-Mont-Blanc,187,1062,1249,2.5,4,€ 30.20,slope+alt
Seebodenalp – Küssnacht,https://www.skiresort.com/en/ski-resort/seebodenalp-kuessnacht/,Switzerland,Central Switzerland,Schwyz,189,1036,1225,2.5,3,"SFr. 15,- / approx. € 16,-",slope+alt
Obdach,https://www.skiresort.com/en/ski-resort/obdach/,Austria,Styria (Steiermark),Murtal,294,899,1193,2.5,,"€ 32,-",slope+alt
Alberschwende – Brüggelekopf,https://www.skiresort.com/en/ski-resort/alberschwende-brueggelekopf/,Austria,Vorarlberg,Bregenz / Bregenzerwald,480,720,1200,2.5,2,"€ 34,-",slope+alt
Brülisau-Leugangen,https://www.skiresort.com/en/ski-resort/bruelisau-leugangen/,Switzerland,Eastern Switzerland,Appenzellerland / Appenzell Innerrhoden,167,905,1072,2.5,,"SFr. 18,- / approx. € 19,-",slope
Col du Granier,https://www.skiresort.com/en/ski-resort/col-du-granier/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Savoie / Chambéry,409,990,1399,2.5,4,"€ 11,-",slope+alt
Kaiserau – Admont,https://www.skiresort.com/en/ski-resort/kaiserau-admont/,Austria,Styria (Steiermark),Liezen / Alpenregion Nationalpark Gesäuse,240,1130,1370,2.5,5,"€ 38,-",slope+alt
Rankenlift,https://www.skiresort.com/en/ski-resort/rankenlift/,Germany,Bavaria (Bayern),Upper Bavaria (Oberbayern) / Chiemsee Alpenland (Chiemsee Alps),171,1076,1247,2.5,2,"€ 14,-",slope+alt
Hahnbaum – St. Johann im Pongau,https://www.skiresort.com/en/ski-resort/hahnbaum-st-johann-im-pongau/,Austria,Salzburg (Salzburger Land),Pongau / Salzburger Sportwelt,212,673,885,2.5,2,"€ 29,-",slope
Gföllberglift – Holzgau,https://www.skiresort.com/en/ski-resort/gfoellberglift-holzgau/,Austria,Tyrol (Tirol),Reutte / Lechtal,221,1108,1329,2.5,2,"€ 32,-",slope+alt
Heumöser – Ebnit (Dornbirn),https://www.skiresort.com/en/ski-resort/heumoeser-ebnit-dornbirn/,Austria,Vorarlberg,Bodensee-Vorarlberg,178,1027,1205,2.5,2,€ 24.60,slope+alt
Hirschberglifte – Kreuth,https://www.skiresort.com/en/ski-resort/hirschberglifte-kreuth/,Germany,Bavaria (Bayern),Upper Bavaria (Oberbayern) / Tegernsee-Schliersee,413,778,1191,2.4,6,"€ 24,-",slope+alt
Spechtenseelift – Pürgg (Stainach-Pürgg),https://www.skiresort.com/en/ski-resort/spechtenseelift-puergg-stainach-puergg/,Austria,Styria (Steiermark),Liezen,160,1100,1260,2.3,,€ 29.50,slope+alt
Ribniška koča – Ribniško Pohorje,https://www.skiresort.com/en/ski-resort/ribniska-koca-ribnisko-pohorje/,Slovenia,Carinthia (Koroška),,157,1368,1525,2.3,2,"€ 29,-",slope+alt
Ribnica na Pohorju – Ribniško Pohorje,https://www.skiresort.com/en/ski-resort/ribnica-na-pohorju-ribnisko-pohorje/,Slovenia,Carinthia (Koroška),,206,715,921,2.2,3,"€ 29,-",slope
Kessellifts – Inzell,https://www.skiresort.com/en/ski-resort/kessellifts-inzell/,Germany,Bavaria (Bayern),Upper Bavaria (Oberbayern) / Chiemgau,95,715,810,2.2,3,"€ 19,-",slope
Oberiberg,https://www.skiresort.com/en/ski-resort/oberiberg/,Switzerland,Central Switzerland,Schwyz,275,1080,1355,2.2,4,"SFr. 32,- / approx. € 34,-",slope+alt
Linden – Schindelberg,https://www.skiresort.com/en/ski-resort/linden-schindelberg/,Switzerland,Espace Mittelland,Bern,168,920,1088,2.2,3,"SFr. 33,- / approx. € 35,-",slope
