id,resort_name,country,base_lat,base_lon,distance_km,hours,via,hits_primary,modes,status,snap_m
191,Grindelwald,CH,46.62431,8.01937,330.8,4.527,Lucerne,Susten,,detour_forced,21
192,Wengen,CH,46.59828,7.90880,323.7,4.383,Lucerne,Susten,,detour_forced,16
193,Mürren – Schilthorn,CH,46.55545,7.90141,329.3,4.520,Lucerne,Susten,,detour_forced,0
194,Gstaad,CH,46.46767,7.28214,332.0,4.712,,,,ok,24
195,Adelboden,CH,46.48790,7.56053,359.7,5.000,Lucerne,Susten,,detour_forced,24
196,Lenk,CH,46.44184,7.45684,363.7,5.243,,Susten,,alternative_used,11
197,Meiringen-Hasliberg,CH,46.74500,8.19441,293.1,3.911,Lucerne,Susten,,detour_forced,1
198,Engelberg,CH,46.81620,8.39586,250.3,3.261,,,,ok,32
199,Andermatt,CH,46.63757,8.59375,186.2,2.421,,,,ok,25
200,Sedrun,CH,46.66994,8.74283,295.6,4.253,Chur,Oberalp,,detour_forced,27
201,Disentis,CH,46.70074,8.84062,285.1,4.061,Chur,Lukmanier,,detour_forced,0
202,Flumserberg,CH,47.09350,9.28529,268.3,3.532,,,,ok,3
203,Arosa,CH,46.78388,9.67944,250.5,3.475,,,,ok,11
204,Lenzerheide,CH,46.73980,9.55665,220.5,3.032,,,,ok,2
205,Laax,CH,46.82017,9.26325,227.5,3.096,,,,ok,84
206,St. Moritz,CH,46.48353,9.83266,167.5,2.946,,,,ok,27
207,Corvatsch – Silvaplana/Sils,CH,46.45515,9.81421,165.2,3.012,,,,ok,6
208,Diavolezza–Lagalb (Pontresina),CH,46.44174,9.98265,184.7,3.254,,,,ok,4
209,Obersaxen–Mundaun,CH,46.74829,9.10218,245.9,3.444,Mesocco,Lukmanier,,detour_forced,26
210,Savognin,CH,46.59415,9.59185,219.0,3.011,,,,ok,0
211,Scuol,CH,46.79379,10.28677,227.7,3.952,,,,ok,19
212,Samnaun,CH,46.95121,10.37524,264.8,4.547,,,,ok,20
213,Davos,CH,46.81063,9.83667,243.3,3.478,,,,ok,14
214,Klosters,CH,46.86900,9.88044,253.5,3.671,,,,ok,17
215,Vals,CH,46.61659,9.18052,254.8,3.632,Mesocco,Lukmanier,,detour_forced,10
